FIPS,County,State,ST
1001,Autauga,Alabama,AL
1003,Baldwin,Alabama,AL
1005,Barbour,Alabama,AL
1007,Bibb,Alabama,AL
1009,Blount,Alabama,AL
1011,Bullock,Alabama,AL
1013,Butler,Alabama,AL
1015,Calhoun,Alabama,AL
1017,Chambers,Alabama,AL
1019,Cherokee,Alabama,AL
1021,Chilton,Alabama,AL
1023,Choctaw,Alabama,AL
1025,Clarke,Alabama,AL
1027,Clay,Alabama,AL
1029,Cleburne,Alabama,AL
1031,Coffee,Alabama,AL
1033,Colbert,Alabama,AL
1035,Conecuh,Alabama,AL
1037,Coosa,Alabama,AL
1039,Covington,Alabama,AL
1041,Crenshaw,Alabama,AL
1043,Cullman,Alabama,AL
1045,Dale,Alabama,AL
1047,Dallas,Alabama,AL
1049,DeKalb,Alabama,AL
1051,Elmore,Alabama,AL
1053,Escambia,Alabama,AL
1055,Etowah,Alabama,AL
1057,Fayette,Alabama,AL
1059,Franklin,Alabama,AL
1061,Geneva,Alabama,AL
1063,Greene,Alabama,AL
1065,Hale,Alabama,AL
1067,Henry,Alabama,AL
1069,Houston,Alabama,AL
1071,Jackson,Alabama,AL
1073,Jefferson,Alabama,AL
1075,Lamar,Alabama,AL
1077,Lauderdale,Alabama,AL
1079,Lawrence,Alabama,AL
1081,Lee,Alabama,AL
1083,Limestone,Alabama,AL
1085,Lowndes,Alabama,AL
1087,Macon,Alabama,AL
1089,Madison,Alabama,AL
1091,Marengo,Alabama,AL
1093,Marion,Alabama,AL
1095,Marshall,Alabama,AL
1097,Mobile,Alabama,AL
1099,Monroe,Alabama,AL
1101,Montgomery,Alabama,AL
1103,Morgan,Alabama,AL
1105,Perry,Alabama,AL
1107,Pickens,Alabama,AL
1109,Pike,Alabama,AL
1111,Randolph,Alabama,AL
1113,Russell,Alabama,AL
1115,St. Clair,Alabama,AL
1117,Shelby,Alabama,AL
1119,Sumter,Alabama,AL
1121,Talladega,Alabama,AL
1123,Tallapoosa,Alabama,AL
1125,Tuscaloosa,Alabama,AL
1127,Walker,Alabama,AL
1129,Washington,Alabama,AL
1131,Wilcox,Alabama,AL
1133,Winston,Alabama,AL
2013,Aleutians East Borough,Alaska,AK
2016,Aleutians West Census Area,Alaska,AK
2020,Anchorage Municipality,Alaska,AK
2050,Bethel Census Area,Alaska,AK
2060,Bristol Bay Borough,Alaska,AK
2068,Denali Borough,Alaska,AK
2070,Dillingham Census Area,Alaska,AK
2090,Fairbanks North Star Borough,Alaska,AK
2100,Haines Borough,Alaska,AK
2110,Juneau City and Borough,Alaska,AK
2122,Kenai Peninsula Borough,Alaska,AK
2130,Ketchikan Gateway Borough,Alaska,AK
2150,Kodiak Island Borough,Alaska,AK
2164,Lake and Peninsula Borough,Alaska,AK
2170,Matanuska-Susitna Borough,Alaska,AK
2180,Nome Census Area,Alaska,AK
2185,North Slope Borough,Alaska,AK
2188,Northwest Arctic Borough,Alaska,AK
2201,Prince of Wales-Outer Ketchikan Census Area,Alaska,AK
2220,Sitka City and Borough,Alaska,AK
2232,Skagway-Hoonah-Angoon Census Area,Alaska,AK
2240,Southeast Fairbanks Census Area,Alaska,AK
2261,Valdez-Cordova Census Area,Alaska,AK
2270,Wade Hampton Census Area,Alaska,AK
2280,Wrangell-Petersburg Census Area,Alaska,AK
2282,Yakutat City and Borough,Alaska,AK
2290,Yukon-Koyukuk Census Area,Alaska,AK
4001,Apache,Arizona,AZ
4003,Cochise,Arizona,AZ
4005,Coconino,Arizona,AZ
4007,Gila,Arizona,AZ
4009,Graham,Arizona,AZ
4011,Greenlee,Arizona,AZ
4012,La Paz,Arizona,AZ
4013,Maricopa,Arizona,AZ
4015,Mohave,Arizona,AZ
4017,Navajo,Arizona,AZ
4019,Pima,Arizona,AZ
4021,Pinal,Arizona,AZ
4023,Santa Cruz,Arizona,AZ
4025,Yavapai,Arizona,AZ
4027,Yuma,Arizona,AZ
5001,Arkansas,Arkansas,AR
5003,Ashley,Arkansas,AR
5005,Baxter,Arkansas,AR
5007,Benton,Arkansas,AR
5009,Boone,Arkansas,AR
5011,Bradley,Arkansas,AR
5013,Calhoun,Arkansas,AR
5015,Carroll,Arkansas,AR
5017,Chicot,Arkansas,AR
5019,Clark,Arkansas,AR
5021,Clay,Arkansas,AR
5023,Cleburne,Arkansas,AR
5025,Cleveland,Arkansas,AR
5027,Columbia,Arkansas,AR
5029,Conway,Arkansas,AR
5031,Craighead,Arkansas,AR
5033,Crawford,Arkansas,AR
5035,Crittenden,Arkansas,AR
5037,Cross,Arkansas,AR
5039,Dallas,Arkansas,AR
5041,Desha,Arkansas,AR
5043,Drew,Arkansas,AR
5045,Faulkner,Arkansas,AR
5047,Franklin,Arkansas,AR
5049,Fulton,Arkansas,AR
5051,Garland,Arkansas,AR
5053,Grant,Arkansas,AR
5055,Greene,Arkansas,AR
5057,Hempstead,Arkansas,AR
5059,Hot Spring,Arkansas,AR
5061,Howard,Arkansas,AR
5063,Independence,Arkansas,AR
5065,Izard,Arkansas,AR
5067,Jackson,Arkansas,AR
5069,Jefferson,Arkansas,AR
5071,Johnson,Arkansas,AR
5073,Lafayette,Arkansas,AR
5075,Lawrence,Arkansas,AR
5077,Lee,Arkansas,AR
5079,Lincoln,Arkansas,AR
5081,Little River,Arkansas,AR
5083,Logan,Arkansas,AR
5085,Lonoke,Arkansas,AR
5087,Madison,Arkansas,AR
5089,Marion,Arkansas,AR
5091,Miller,Arkansas,AR
5093,Mississippi,Arkansas,AR
5095,Monroe,Arkansas,AR
5097,Montgomery,Arkansas,AR
5099,Nevada,Arkansas,AR
5101,Newton,Arkansas,AR
5103,Ouachita,Arkansas,AR
5105,Perry,Arkansas,AR
5107,Phillips,Arkansas,AR
5109,Pike,Arkansas,AR
5111,Poinsett,Arkansas,AR
5113,Polk,Arkansas,AR
5115,Pope,Arkansas,AR
5117,Prairie,Arkansas,AR
5119,Pulaski,Arkansas,AR
5121,Randolph,Arkansas,AR
5123,St. Francis,Arkansas,AR
5125,Saline,Arkansas,AR
5127,Scott,Arkansas,AR
5129,Searcy,Arkansas,AR
5131,Sebastian,Arkansas,AR
5133,Sevier,Arkansas,AR
5135,Sharp,Arkansas,AR
5137,Stone,Arkansas,AR
5139,Union,Arkansas,AR
5141,Van Buren,Arkansas,AR
5143,Washington,Arkansas,AR
5145,White,Arkansas,AR
5147,Woodruff,Arkansas,AR
5149,Yell,Arkansas,AR
6001,Alameda,California,CA
6003,Alpine,California,CA
6005,Amador,California,CA
6007,Butte,California,CA
6009,Calaveras,California,CA
6011,Colusa,California,CA
6013,Contra Costa,California,CA
6015,Del Norte,California,CA
6017,El Dorado,California,CA
6019,Fresno,California,CA
6021,Glenn,California,CA
6023,Humboldt,California,CA
6025,Imperial,California,CA
6027,Inyo,California,CA
6029,Kern,California,CA
6031,Kings,California,CA
6033,Lake,California,CA
6035,Lassen,California,CA
6037,Los Angeles,California,CA
6039,Madera,California,CA
6041,Marin,California,CA
6043,Mariposa,California,CA
6045,Mendocino,California,CA
6047,Merced,California,CA
6049,Modoc,California,CA
6051,Mono,California,CA
6053,Monterey,California,CA
6055,Napa,California,CA
6057,Nevada,California,CA
6059,Orange,California,CA
6061,Placer,California,CA
6063,Plumas,California,CA
6065,Riverside,California,CA
6067,Sacramento,California,CA
6069,San Benito,California,CA
6071,San Bernardino,California,CA
6073,San Diego,California,CA
6075,San Francisco,California,CA
6077,San Joaquin,California,CA
6079,San Luis Obispo,California,CA
6081,San Mateo,California,CA
6083,Santa Barbara,California,CA
6085,Santa Clara,California,CA
6087,Santa Cruz,California,CA
6089,Shasta,California,CA
6091,Sierra,California,CA
6093,Siskiyou,California,CA
6095,Solano,California,CA
6097,Sonoma,California,CA
6099,Stanislaus,California,CA
6101,Sutter,California,CA
6103,Tehama,California,CA
6105,Trinity,California,CA
6107,Tulare,California,CA
6109,Tuolumne,California,CA
6111,Ventura,California,CA
6113,Yolo,California,CA
6115,Yuba,California,CA
8001,Adams,Colorado,CO
8003,Alamosa,Colorado,CO
8005,Arapahoe,Colorado,CO
8007,Archuleta,Colorado,CO
8009,Baca,Colorado,CO
8011,Bent,Colorado,CO
8013,Boulder,Colorado,CO
8014,Broomfield,Colorado,CO
8015,Chaffee,Colorado,CO
8017,Cheyenne,Colorado,CO
8019,Clear Creek,Colorado,CO
8021,Conejos,Colorado,CO
8023,Costilla,Colorado,CO
8025,Crowley,Colorado,CO
8027,Custer,Colorado,CO
8029,Delta,Colorado,CO
8031,Denver,Colorado,CO
8033,Dolores,Colorado,CO
8035,Douglas,Colorado,CO
8037,Eagle,Colorado,CO
8039,Elbert,Colorado,CO
8041,El Paso,Colorado,CO
8043,Fremont,Colorado,CO
8045,Garfield,Colorado,CO
8047,Gilpin,Colorado,CO
8049,Grand,Colorado,CO
8051,Gunnison,Colorado,CO
8053,Hinsdale,Colorado,CO
8055,Huerfano,Colorado,CO
8057,Jackson,Colorado,CO
8059,Jefferson,Colorado,CO
8061,Kiowa,Colorado,CO
8063,Kit Carson,Colorado,CO
8065,Lake,Colorado,CO
8067,La Plata,Colorado,CO
8069,Larimer,Colorado,CO
8071,Las Animas,Colorado,CO
8073,Lincoln,Colorado,CO
8075,Logan,Colorado,CO
8077,Mesa,Colorado,CO
8079,Mineral,Colorado,CO
8081,Moffat,Colorado,CO
8083,Montezuma,Colorado,CO
8085,Montrose,Colorado,CO
8087,Morgan,Colorado,CO
8089,Otero,Colorado,CO
8091,Ouray,Colorado,CO
8093,Park,Colorado,CO
8095,Phillips,Colorado,CO
8097,Pitkin,Colorado,CO
8099,Prowers,Colorado,CO
8101,Pueblo,Colorado,CO
8103,Rio Blanco,Colorado,CO
8105,Rio Grande,Colorado,CO
8107,Routt,Colorado,CO
8109,Saguache,Colorado,CO
8111,San Juan,Colorado,CO
8113,San Miguel,Colorado,CO
8115,Sedgwick,Colorado,CO
8117,Summit,Colorado,CO
8119,Teller,Colorado,CO
8121,Washington,Colorado,CO
8123,Weld,Colorado,CO
8125,Yuma,Colorado,CO
9001,Fairfield,Connecticut,CT
9003,Hartford,Connecticut,CT
9005,Litchfield,Connecticut,CT
9007,Middlesex,Connecticut,CT
9009,New Haven,Connecticut,CT
9011,New London,Connecticut,CT
9013,Tolland,Connecticut,CT
9015,Windham,Connecticut,CT
10001,Kent,Delaware,DE
10003,New Castle,Delaware,DE
10005,Sussex,Delaware,DE
11001,District of Columbia,District Of Columbia,DC
12001,Alachua,Florida,FL
12003,Baker,Florida,FL
12005,Bay,Florida,FL
12007,Bradford,Florida,FL
12009,Brevard,Florida,FL
12011,Broward,Florida,FL
12013,Calhoun,Florida,FL
12015,Charlotte,Florida,FL
12017,Citrus,Florida,FL
12019,Clay,Florida,FL
12021,Collier,Florida,FL
12023,Columbia,Florida,FL
12027,DeSoto,Florida,FL
12029,Dixie,Florida,FL
12031,Duval,Florida,FL
12033,Escambia,Florida,FL
12035,Flagler,Florida,FL
12037,Franklin,Florida,FL
12039,Gadsden,Florida,FL
12041,Gilchrist,Florida,FL
12043,Glades,Florida,FL
12045,Gulf,Florida,FL
12047,Hamilton,Florida,FL
12049,Hardee,Florida,FL
12051,Hendry,Florida,FL
12053,Hernando,Florida,FL
12055,Highlands,Florida,FL
12057,Hillsborough,Florida,FL
12059,Holmes,Florida,FL
12061,Indian River,Florida,FL
12063,Jackson,Florida,FL
12065,Jefferson,Florida,FL
12067,Lafayette,Florida,FL
12069,Lake,Florida,FL
12071,Lee,Florida,FL
12073,Leon,Florida,FL
12075,Levy,Florida,FL
12077,Liberty,Florida,FL
12079,Madison,Florida,FL
12081,Manatee,Florida,FL
12083,Marion,Florida,FL
12085,Martin,Florida,FL
12086,Miami-Dade,Florida,FL
12087,Monroe,Florida,FL
12089,Nassau,Florida,FL
12091,Okaloosa,Florida,FL
12093,Okeechobee,Florida,FL
12095,Orange,Florida,FL
12097,Osceola,Florida,FL
12099,Palm Beach,Florida,FL
12101,Pasco,Florida,FL
12103,Pinellas,Florida,FL
12105,Polk,Florida,FL
12107,Putnam,Florida,FL
12109,St. Johns,Florida,FL
12111,St. Lucie,Florida,FL
12113,Santa Rosa,Florida,FL
12115,Sarasota,Florida,FL
12117,Seminole,Florida,FL
12119,Sumter,Florida,FL
12121,Suwannee,Florida,FL
12123,Taylor,Florida,FL
12125,Union,Florida,FL
12127,Volusia,Florida,FL
12129,Wakulla,Florida,FL
12131,Walton,Florida,FL
12133,Washington,Florida,FL
13001,Appling,Georgia,GA
13003,Atkinson,Georgia,GA
13005,Bacon,Georgia,GA
13007,Baker,Georgia,GA
13009,Baldwin,Georgia,GA
13011,Banks,Georgia,GA
13013,Barrow,Georgia,GA
13015,Bartow,Georgia,GA
13017,Ben Hill,Georgia,GA
13019,Berrien,Georgia,GA
13021,Bibb,Georgia,GA
13023,Bleckley,Georgia,GA
13025,Brantley,Georgia,GA
13027,Brooks,Georgia,GA
13029,Bryan,Georgia,GA
13031,Bulloch,Georgia,GA
13033,Burke,Georgia,GA
13035,Butts,Georgia,GA
13037,Calhoun,Georgia,GA
13039,Camden,Georgia,GA
13043,Candler,Georgia,GA
13045,Carroll,Georgia,GA
13047,Catoosa,Georgia,GA
13049,Charlton,Georgia,GA
13051,Chatham,Georgia,GA
13053,Chattahoochee,Georgia,GA
13055,Chattooga,Georgia,GA
13057,Cherokee,Georgia,GA
13059,Clarke,Georgia,GA
13061,Clay,Georgia,GA
13063,Clayton,Georgia,GA
13065,Clinch,Georgia,GA
13067,Cobb,Georgia,GA
13069,Coffee,Georgia,GA
13071,Colquitt,Georgia,GA
13073,Columbia,Georgia,GA
13075,Cook,Georgia,GA
13077,Coweta,Georgia,GA
13079,Crawford,Georgia,GA
13081,Crisp,Georgia,GA
13083,Dade,Georgia,GA
13085,Dawson,Georgia,GA
13087,Decatur,Georgia,GA
13089,DeKalb,Georgia,GA
13091,Dodge,Georgia,GA
13093,Dooly,Georgia,GA
13095,Dougherty,Georgia,GA
13097,Douglas,Georgia,GA
13099,Early,Georgia,GA
13101,Echols,Georgia,GA
13103,Effingham,Georgia,GA
13105,Elbert,Georgia,GA
13107,Emanuel,Georgia,GA
13109,Evans,Georgia,GA
13111,Fannin,Georgia,GA
13113,Fayette,Georgia,GA
13115,Floyd,Georgia,GA
13117,Forsyth,Georgia,GA
13119,Franklin,Georgia,GA
13121,Fulton,Georgia,GA
13123,Gilmer,Georgia,GA
13125,Glascock,Georgia,GA
13127,Glynn,Georgia,GA
13129,Gordon,Georgia,GA
13131,Grady,Georgia,GA
13133,Greene,Georgia,GA
13135,Gwinnett,Georgia,GA
13137,Habersham,Georgia,GA
13139,Hall,Georgia,GA
13141,Hancock,Georgia,GA
13143,Haralson,Georgia,GA
13145,Harris,Georgia,GA
13147,Hart,Georgia,GA
13149,Heard,Georgia,GA
13151,Henry,Georgia,GA
13153,Houston,Georgia,GA
13155,Irwin,Georgia,GA
13157,Jackson,Georgia,GA
13159,Jasper,Georgia,GA
13161,Jeff Davis,Georgia,GA
13163,Jefferson,Georgia,GA
13165,Jenkins,Georgia,GA
13167,Johnson,Georgia,GA
13169,Jones,Georgia,GA
13171,Lamar,Georgia,GA
13173,Lanier,Georgia,GA
13175,Laurens,Georgia,GA
13177,Lee,Georgia,GA
13179,Liberty,Georgia,GA
13181,Lincoln,Georgia,GA
13183,Long,Georgia,GA
13185,Lowndes,Georgia,GA
13187,Lumpkin,Georgia,GA
13189,McDuffie,Georgia,GA
13191,McIntosh,Georgia,GA
13193,Macon,Georgia,GA
13195,Madison,Georgia,GA
13197,Marion,Georgia,GA
13199,Meriwether,Georgia,GA
13201,Miller,Georgia,GA
13205,Mitchell,Georgia,GA
13207,Monroe,Georgia,GA
13209,Montgomery,Georgia,GA
13211,Morgan,Georgia,GA
13213,Murray,Georgia,GA
13215,Muscogee,Georgia,GA
13217,Newton,Georgia,GA
13219,Oconee,Georgia,GA
13221,Oglethorpe,Georgia,GA
13223,Paulding,Georgia,GA
13225,Peach,Georgia,GA
13227,Pickens,Georgia,GA
13229,Pierce,Georgia,GA
13231,Pike,Georgia,GA
13233,Polk,Georgia,GA
13235,Pulaski,Georgia,GA
13237,Putnam,Georgia,GA
13239,Quitman,Georgia,GA
13241,Rabun,Georgia,GA
13243,Randolph,Georgia,GA
13245,Richmond,Georgia,GA
13247,Rockdale,Georgia,GA
13249,Schley,Georgia,GA
13251,Screven,Georgia,GA
13253,Seminole,Georgia,GA
13255,Spalding,Georgia,GA
13257,Stephens,Georgia,GA
13259,Stewart,Georgia,GA
13261,Sumter,Georgia,GA
13263,Talbot,Georgia,GA
13265,Taliaferro,Georgia,GA
13267,Tattnall,Georgia,GA
13269,Taylor,Georgia,GA
13271,Telfair,Georgia,GA
13273,Terrell,Georgia,GA
13275,Thomas,Georgia,GA
13277,Tift,Georgia,GA
13279,Toombs,Georgia,GA
13281,Towns,Georgia,GA
13283,Treutlen,Georgia,GA
13285,Troup,Georgia,GA
13287,Turner,Georgia,GA
13289,Twiggs,Georgia,GA
13291,Union,Georgia,GA
13293,Upson,Georgia,GA
13295,Walker,Georgia,GA
13297,Walton,Georgia,GA
13299,Ware,Georgia,GA
13301,Warren,Georgia,GA
13303,Washington,Georgia,GA
13305,Wayne,Georgia,GA
13307,Webster,Georgia,GA
13309,Wheeler,Georgia,GA
13311,White,Georgia,GA
13313,Whitfield,Georgia,GA
13315,Wilcox,Georgia,GA
13317,Wilkes,Georgia,GA
13319,Wilkinson,Georgia,GA
13321,Worth,Georgia,GA
15001,Hawaii,Hawaii,HI
15003,Honolulu,Hawaii,HI
15005,Kalawao,Hawaii,HI
15007,Kauai,Hawaii,HI
15009,Maui,Hawaii,HI
16001,Ada,Idaho,ID
16003,Adams,Idaho,ID
16005,Bannock,Idaho,ID
16007,Bear Lake,Idaho,ID
16009,Benewah,Idaho,ID
16011,Bingham,Idaho,ID
16013,Blaine,Idaho,ID
16015,Boise,Idaho,ID
16017,Bonner,Idaho,ID
16019,Bonneville,Idaho,ID
16021,Boundary,Idaho,ID
16023,Butte,Idaho,ID
16025,Camas,Idaho,ID
16027,Canyon,Idaho,ID
16029,Caribou,Idaho,ID
16031,Cassia,Idaho,ID
16033,Clark,Idaho,ID
16035,Clearwater,Idaho,ID
16037,Custer,Idaho,ID
16039,Elmore,Idaho,ID
16041,Franklin,Idaho,ID
16043,Fremont,Idaho,ID
16045,Gem,Idaho,ID
16047,Gooding,Idaho,ID
16049,Idaho,Idaho,ID
16051,Jefferson,Idaho,ID
16053,Jerome,Idaho,ID
16055,Kootenai,Idaho,ID
16057,Latah,Idaho,ID
16059,Lemhi,Idaho,ID
16061,Lewis,Idaho,ID
16063,Lincoln,Idaho,ID
16065,Madison,Idaho,ID
16067,Minidoka,Idaho,ID
16069,Nez Perce,Idaho,ID
16071,Oneida,Idaho,ID
16073,Owyhee,Idaho,ID
16075,Payette,Idaho,ID
16077,Power,Idaho,ID
16079,Shoshone,Idaho,ID
16081,Teton,Idaho,ID
16083,Twin Falls,Idaho,ID
16085,Valley,Idaho,ID
16087,Washington,Idaho,ID
17001,Adams,Illinois,IL
17003,Alexander,Illinois,IL
17005,Bond,Illinois,IL
17007,Boone,Illinois,IL
17009,Brown,Illinois,IL
17011,Bureau,Illinois,IL
17013,Calhoun,Illinois,IL
17015,Carroll,Illinois,IL
17017,Cass,Illinois,IL
17019,Champaign,Illinois,IL
17021,Christian,Illinois,IL
17023,Clark,Illinois,IL
17025,Clay,Illinois,IL
17027,Clinton,Illinois,IL
17029,Coles,Illinois,IL
17031,Cook,Illinois,IL
17033,Crawford,Illinois,IL
17035,Cumberland,Illinois,IL
17037,DeKalb,Illinois,IL
17039,De Witt,Illinois,IL
17041,Douglas,Illinois,IL
17043,DuPage,Illinois,IL
17045,Edgar,Illinois,IL
17047,Edwards,Illinois,IL
17049,Effingham,Illinois,IL
17051,Fayette,Illinois,IL
17053,Ford,Illinois,IL
17055,Franklin,Illinois,IL
17057,Fulton,Illinois,IL
17059,Gallatin,Illinois,IL
17061,Greene,Illinois,IL
17063,Grundy,Illinois,IL
17065,Hamilton,Illinois,IL
17067,Hancock,Illinois,IL
17069,Hardin,Illinois,IL
17071,Henderson,Illinois,IL
17073,Henry,Illinois,IL
17075,Iroquois,Illinois,IL
17077,Jackson,Illinois,IL
17079,Jasper,Illinois,IL
17081,Jefferson,Illinois,IL
17083,Jersey,Illinois,IL
17085,Jo Daviess,Illinois,IL
17087,Johnson,Illinois,IL
17089,Kane,Illinois,IL
17091,Kankakee,Illinois,IL
17093,Kendall,Illinois,IL
17095,Knox,Illinois,IL
17097,Lake,Illinois,IL
17099,La Salle,Illinois,IL
17101,Lawrence,Illinois,IL
17103,Lee,Illinois,IL
17105,Livingston,Illinois,IL
17107,Logan,Illinois,IL
17109,McDonough,Illinois,IL
17111,McHenry,Illinois,IL
17113,McLean,Illinois,IL
17115,Macon,Illinois,IL
17117,Macoupin,Illinois,IL
17119,Madison,Illinois,IL
17121,Marion,Illinois,IL
17123,Marshall,Illinois,IL
17125,Mason,Illinois,IL
17127,Massac,Illinois,IL
17129,Menard,Illinois,IL
17131,Mercer,Illinois,IL
17133,Monroe,Illinois,IL
17135,Montgomery,Illinois,IL
17137,Morgan,Illinois,IL
17139,Moultrie,Illinois,IL
17141,Ogle,Illinois,IL
17143,Peoria,Illinois,IL
17145,Perry,Illinois,IL
17147,Piatt,Illinois,IL
17149,Pike,Illinois,IL
17151,Pope,Illinois,IL
17153,Pulaski,Illinois,IL
17155,Putnam,Illinois,IL
17157,Randolph,Illinois,IL
17159,Richland,Illinois,IL
17161,Rock Island,Illinois,IL
17163,St. Clair,Illinois,IL
17165,Saline,Illinois,IL
17167,Sangamon,Illinois,IL
17169,Schuyler,Illinois,IL
17171,Scott,Illinois,IL
17173,Shelby,Illinois,IL
17175,Stark,Illinois,IL
17177,Stephenson,Illinois,IL
17179,Tazewell,Illinois,IL
17181,Union,Illinois,IL
17183,Vermilion,Illinois,IL
17185,Wabash,Illinois,IL
17187,Warren,Illinois,IL
17189,Washington,Illinois,IL
17191,Wayne,Illinois,IL
17193,White,Illinois,IL
17195,Whiteside,Illinois,IL
17197,Will,Illinois,IL
17199,Williamson,Illinois,IL
17201,Winnebago,Illinois,IL
17203,Woodford,Illinois,IL
18001,Adams,Indiana,IN
18003,Allen,Indiana,IN
18005,Bartholomew,Indiana,IN
18007,Benton,Indiana,IN
18009,Blackford,Indiana,IN
18011,Boone,Indiana,IN
18013,Brown,Indiana,IN
18015,Carroll,Indiana,IN
18017,Cass,Indiana,IN
18019,Clark,Indiana,IN
18021,Clay,Indiana,IN
18023,Clinton,Indiana,IN
18025,Crawford,Indiana,IN
18027,Daviess,Indiana,IN
18029,Dearborn,Indiana,IN
18031,Decatur,Indiana,IN
18033,DeKalb,Indiana,IN
18035,Delaware,Indiana,IN
18037,Dubois,Indiana,IN
18039,Elkhart,Indiana,IN
18041,Fayette,Indiana,IN
18043,Floyd,Indiana,IN
18045,Fountain,Indiana,IN
18047,Franklin,Indiana,IN
18049,Fulton,Indiana,IN
18051,Gibson,Indiana,IN
18053,Grant,Indiana,IN
18055,Greene,Indiana,IN
18057,Hamilton,Indiana,IN
18059,Hancock,Indiana,IN
18061,Harrison,Indiana,IN
18063,Hendricks,Indiana,IN
18065,Henry,Indiana,IN
18067,Howard,Indiana,IN
18069,Huntington,Indiana,IN
18071,Jackson,Indiana,IN
18073,Jasper,Indiana,IN
18075,Jay,Indiana,IN
18077,Jefferson,Indiana,IN
18079,Jennings,Indiana,IN
18081,Johnson,Indiana,IN
18083,Knox,Indiana,IN
18085,Kosciusko,Indiana,IN
18087,LaGrange,Indiana,IN
18089,Lake,Indiana,IN
18091,LaPorte,Indiana,IN
18093,Lawrence,Indiana,IN
18095,Madison,Indiana,IN
18097,Marion,Indiana,IN
18099,Marshall,Indiana,IN
18101,Martin,Indiana,IN
18103,Miami,Indiana,IN
18105,Monroe,Indiana,IN
18107,Montgomery,Indiana,IN
18109,Morgan,Indiana,IN
18111,Newton,Indiana,IN
18113,Noble,Indiana,IN
18115,Ohio,Indiana,IN
18117,Orange,Indiana,IN
18119,Owen,Indiana,IN
18121,Parke,Indiana,IN
18123,Perry,Indiana,IN
18125,Pike,Indiana,IN
18127,Porter,Indiana,IN
18129,Posey,Indiana,IN
18131,Pulaski,Indiana,IN
18133,Putnam,Indiana,IN
18135,Randolph,Indiana,IN
18137,Ripley,Indiana,IN
18139,Rush,Indiana,IN
18141,St. Joseph,Indiana,IN
18143,Scott,Indiana,IN
18145,Shelby,Indiana,IN
18147,Spencer,Indiana,IN
18149,Starke,Indiana,IN
18151,Steuben,Indiana,IN
18153,Sullivan,Indiana,IN
18155,Switzerland,Indiana,IN
18157,Tippecanoe,Indiana,IN
18159,Tipton,Indiana,IN
18161,Union,Indiana,IN
18163,Vanderburgh,Indiana,IN
18165,Vermillion,Indiana,IN
18167,Vigo,Indiana,IN
18169,Wabash,Indiana,IN
18171,Warren,Indiana,IN
18173,Warrick,Indiana,IN
18175,Washington,Indiana,IN
18177,Wayne,Indiana,IN
18179,Wells,Indiana,IN
18181,White,Indiana,IN
18183,Whitley,Indiana,IN
19001,Adair,Iowa,IA
19003,Adams,Iowa,IA
19005,Allamakee,Iowa,IA
19007,Appanoose,Iowa,IA
19009,Audubon,Iowa,IA
19011,Benton,Iowa,IA
19013,Black Hawk,Iowa,IA
19015,Boone,Iowa,IA
19017,Bremer,Iowa,IA
19019,Buchanan,Iowa,IA
19021,Buena Vista,Iowa,IA
19023,Butler,Iowa,IA
19025,Calhoun,Iowa,IA
19027,Carroll,Iowa,IA
19029,Cass,Iowa,IA
19031,Cedar,Iowa,IA
19033,Cerro Gordo,Iowa,IA
19035,Cherokee,Iowa,IA
19037,Chickasaw,Iowa,IA
19039,Clarke,Iowa,IA
19041,Clay,Iowa,IA
19043,Clayton,Iowa,IA
19045,Clinton,Iowa,IA
19047,Crawford,Iowa,IA
19049,Dallas,Iowa,IA
19051,Davis,Iowa,IA
